region,liga,temporada,equipo_local,equipo_visitante,resultado,local_jugador_1,visitante_jugador_1,local_jugador_2,visitante_jugador_2,local_jugador_3,visitante_jugador_3,local_jugador_4,visitante_jugador_4,local_jugador_5,visitante_jugador_5,local_jugador_6,visitante_jugador_6,local_jugador_7,visitante_jugador_7,local_jugador_8,visitante_jugador_8,local_jugador_9,visitante_jugador_9,local_jugador_10,visitante_jugador_10,local_jugador_11,visitante_jugador_11
Internacional,Champions League,2025,FK Bodø/Glimt,AS Mónaco,"0:1
(0:1)",Haikin,Köhn,Moe,Salisu,Bjørtuft,Kehrer,Bjørkan,Caio Henri.,Sjøvold,Ouattara,Berg,Teze,Auklend,Coulibaly,Evjen,Golovin,Fet,Minamino,Hauge,Akliouche,Høgh,Balogun
Internacional,Champions League,2025,Olympiacos El Pireo,PSV Eindhoven,"1:1
(1:0)",Tzolakis,Kovar,Pirola,Gasiorowski,Retsos,Salah-Eddine,Ortega,Mauro Júnior,Rodinei,Dest,García,Schouten,Mouzakitis,Veerman,Chiquinho,Til,Podence,Saibari,Martins,Perišić,El Kaabi,Man
Internacional,Champions League,2025,Qarabağ FK,Chelsea FC,"2:2
(2:1)",Kochalski,Sánchez,Mustafazada,Adarabioyo,Medina,Hato,Cafarquliyev,Cucurella,Matheus Si.,James,Bicalho,Lavia,Jankovic,Santos,Borges,George,Zoubir,Gittens,Leandro An.,Estêvão,Durán,João Pedro
Internacional,Champions League,2025,Pafos FC,Villarreal CF,"1:0
(0:0)",Michail,Luiz Júnior,Goldar,Foyth,David Luiz,Veiga,Luckassen,Cardona,Sema,Mouriño,Bruno,Parejo,Šunjić,Gueye,Quina,Moleiro,Pêpê,Pépé,Dragomir,Pérez,Orsic,Mikautadze
Internacional,Champions League,2025,Inter de Milán,Kairat Almaty,"2:1
(1:0)",Sommer,Anarbekov,de Vrij,Sorokin,Bisseck,Shirobokov,Dimarco,Mata,Carlos Aug.,Mrynskiy,Dumfries,Kasabulat,Zielinski,Arad,Frattesi,Gromyko,Barella,Jorginho,Esposito,Edmilson,Martínez,Satpaev
Internacional,Champions League,2025,Manchester City,Borussia Dortmund,"4:1
(2:0)",Donnarumma,Kobel,Gvardiol,Anton,Stones,Schlotterb.,O'Reilly,Bensebaini,Nunes,Svensson,González,Ryerson,Reijnders,Sabitzer,Foden,Nmecha,Savinho,Adeyemi,Doku,Guirassy,Haaland,Beier
Internacional,Champions League,2025,Ajax de Ámsterdam,Galatasaray,"0:3
(0:0)",Pasveer,Çakır,Sutalo,Sánchez,Baas,Singo,Wijndal,Bardakcı,Gaaei,Jakobs,Mokio,Sallai,Regeer,Torreira,Klaassen,Lemina,Gloukh,Sara,Godts,Sané,Weghorst,Osimhen
Internacional,Champions League,2025,Club Brujas KV,FC Barcelona,"3:3
(2:1)",Jackers,Szczesny,Ordóñez,García,Mechele,Araujo,Seys,Balde,Sabbe,Koundé,Onyedika,Casadó,Stanković,de Jong,Vanaken,López,Tzolis,Rashford,Forbs,Lamine Yamal,Tresoldi,Torres
Internacional,Champions League,2025,Olympique de Marsella,Atalanta de Bérgamo,"0:1
(0:0)",Rulli,Carnesecchi,Egan-Riley,Djimsiti,Aguerd,Ahanor,Pavard,Kossounou,Garcia,de Roon,Murillo,Éderson,Højbjerg,Zappacosta,O'Riley,Bellanova,Paixão,De Ketelaere,Greenwood,Lookman,Aubameyang,Krstović
Internacional,Champions League,2025,SL Benfica,Bayer 04 Leverkusen,"0:1
(0:0)",Trubin,Flekken,Araújo,Quansah,Otamendi,Tapsoba,Dahl,Badé,Ríos,Grimaldo,Barrenechea,Arthur,Barreiro,García,Aursnes,Maza,Sudakov,Echeverri,Lukébakio,Poku,Pavlidis,Kofane
